Business Date,Business Hour,Location Name,Net Sales Total  (Sum),Number of Guests  (Sum)
6/13/2019,8:00 PM - 8:59 PM,3,46.43,5
6/13/2019,10:00 PM - 10:59 PM,3,18.99,0
6/13/2019,11:00 PM - 11:59 PM,3,0,0
6/13/2019,7:00 AM - 7:59 AM,3,16.89,2
6/13/2019,12:00 PM - 12:59 PM,3,395.42,21
6/13/2019,1:00 PM - 1:59 PM,3,113.46,7
6/13/2019,2:00 PM - 2:59 PM,3,46.15,4
6/13/2019,3:00 PM - 3:59 PM,3,50.86,2
6/13/2019,3:00 PM - 3:59 PM,3,40.15,4
6/13/2019,8:00 PM - 8:59 PM,3,759.68,22
6/13/2019,8:00 PM - 8:59 PM,3,375.93,15
6/13/2019,9:00 PM - 9:59 PM,3,186.96,2
6/13/2019,9:00 PM - 9:59 PM,3,79,6
6/13/2019,10:00 PM - 10:59 PM,3,40.6,6
6/13/2019,8:00 AM - 8:59 AM,3,52.82,3
6/13/2019,10:00 AM - 10:59 AM,3,88.47,4
6/13/2019,1:00 PM - 1:59 PM,3,96.7,3
6/13/2019,2:00 PM - 2:59 PM,3,106.5,5
6/13/2019,9:00 PM - 9:59 PM,3,65.77,2
6/13/2019,9:00 PM - 9:59 PM,3,45.96,2
6/13/2019,11:00 PM - 11:59 PM,3,-104.78,0
6/13/2019,11:00 PM - 11:59 PM,3,-47.86,0
6/14/2019,8:00 AM - 8:59 AM,3,12.67,2
6/14/2019,10:00 AM - 10:59 AM,3,103.01,5
6/14/2019,1:00 PM - 1:59 PM,3,560.67,26
6/14/2019,1:00 PM - 1:59 PM,3,273.34,11
6/14/2019,2:00 PM - 2:59 PM,3,165.05,9
6/14/2019,3:00 PM - 3:59 PM,3,60.29,3
6/14/2019,3:00 PM - 3:59 PM,3,45.71,9
6/14/2019,5:00 PM - 5:59 PM,3,229.73,24
6/14/2019,6:00 PM - 6:59 PM,3,328.08,15
6/14/2019,8:00 PM - 8:59 PM,3,658.15,18
6/14/2019,9:00 PM - 9:59 PM,3,215.51,3
6/14/2019,10:00 PM - 10:59 PM,3,93.63,6
6/14/2019,9:00 AM - 9:59 AM,3,103.81,6
6/14/2019,1:00 PM - 1:59 PM,3,134.22,11
6/14/2019,1:00 PM - 1:59 PM,3,136.06,3
6/14/2019,2:00 PM - 2:59 PM,3,112.08,8
6/14/2019,2:00 PM - 2:59 PM,3,101.04,14
6/14/2019,6:00 PM - 6:59 PM,3,500.9,14
6/14/2019,8:00 PM - 8:59 PM,3,694.77,19
6/14/2019,10:00 PM - 10:59 PM,3,77.54,7
6/14/2019,11:00 PM - 11:59 PM,3,-9.49,0
6/14/2019,12:00 AM - 12:59 AM,3,-63.17,2
6/14/2019,9:00 AM - 9:59 AM,3,-25.53,2
6/14/2019,11:00 AM - 11:59 AM,3,162.34,14
6/14/2019,12:00 PM - 12:59 PM,3,449.09,25
6/14/2019,12:00 PM - 12:59 PM,3,95.46,10
6/14/2019,12:00 PM - 12:59 PM,3,345.35,24
6/14/2019,2:00 PM - 2:59 PM,3,83.52,4
6/14/2019,5:00 PM - 5:59 PM,3,211.14,15
6/14/2019,5:00 PM - 5:59 PM,3,438.21,23
6/14/2019,12:00 AM - 12:59 AM,3,0,0
6/14/2019,9:00 AM - 9:59 AM,3,125.84,12
6/14/2019,3:00 PM - 3:59 PM,3,89.57,8
6/14/2019,4:00 PM - 4:59 PM,3,83.58,7
6/14/2019,5:00 PM - 5:59 PM,3,376.75,21
6/14/2019,9:00 PM - 9:59 PM,3,306.94,13
6/14/2019,10:00 PM - 10:59 PM,3,74.03,8
6/14/2019,12:00 AM - 12:59 AM,3,0,0
6/14/2019,8:00 AM - 8:59 AM,3,49.63,4
6/14/2019,10:00 AM - 10:59 AM,3,41.26,3
6/14/2019,3:00 PM - 3:59 PM,3,47.57,4
6/14/2019,7:00 PM - 7:59 PM,3,395.16,22
6/14/2019,7:00 PM - 7:59 PM,3,600.47,30
6/14/2019,8:00 PM - 8:59 PM,3,608.5,19
6/14/2019,8:00 PM - 8:59 PM,3,401.48,21
6/14/2019,11:00 PM - 11:59 PM,3,46.28,2
6/14/2019,8:00 AM - 8:59 AM,3,123.76,11
6/14/2019,8:00 AM - 8:59 AM,3,153.43,9
6/14/2019,10:00 AM - 10:59 AM,3,12.68,3
6/14/2019,4:00 PM - 4:59 PM,3,139.55,14
6/14/2019,6:00 PM - 6:59 PM,3,481.88,28
6/14/2019,7:00 PM - 7:59 PM,3,603.01,21
6/14/2019,9:00 PM - 9:59 PM,3,339.98,26
6/14/2019,9:00 PM - 9:59 PM,3,645.43,21
6/14/2019,11:00 PM - 11:59 PM,3,0,0
6/14/2019,12:00 AM - 12:59 AM,3,-113.79,0
6/14/2019,10:00 AM - 10:59 AM,3,65.28,6
6/14/2019,11:00 AM - 11:59 AM,3,46.07,5
6/14/2019,4:00 PM - 4:59 PM,3,84.67,12
6/14/2019,7:00 PM - 7:59 PM,3,572.43,12
6/14/2019,10:00 PM - 10:59 PM,3,336.64,14
6/14/2019,11:00 PM - 11:59 PM,3,-12.65,0
6/14/2019,1:00 AM - 1:59 AM,3,-21.48,0
6/14/2019,9:00 AM - 9:59 AM,3,108.74,6
6/14/2019,11:00 AM - 11:59 AM,3,402.78,13
6/14/2019,11:00 AM - 11:59 AM,3,448.68,30
6/14/2019,12:00 PM - 12:59 PM,3,539.3,25
6/14/2019,4:00 PM - 4:59 PM,3,407.2,21
6/14/2019,6:00 PM - 6:59 PM,3,394.11,21
6/15/2019,1:00 PM - 1:59 PM,3,414.66,20
